Sentence,Sentiment,Target Text
"It takes months for them to answer via email, or don’t even bother to reply to you in the …",neutral,N/A
Beautiful looking diplomas but why are they 7 inches by 14 inches in size?   ,positive,diplomas
"When looking for a frame,  you can't get these off the shelf because of the irregular dimensions.....",negative,N/A
wait!...,negative,N/A
I found the frames at Georgian College store starting …,neutral,N/A
An unprofessional service this college has to offer. ,negative,service
I have allied for an fees refund it’s been more than 5 month now. ,neutral,N/A
Every time  there is a new excuse from them saying g there was an miscommunication in the team that’s why the payment …,negative,N/A
This College only wants money...,neutral,N/A
they are very dishonest! ,negative,N/A
They do everything for you to get in the College and when you need them they disappear and STEAL your money! ,negative,N/A
I changed my intake once because of Coronavirus and had to change it again …,negative,N/A
"Suppotive staff ,good campus ,importance to sports and fitness , is also well established, on campus bus stop so need not to go outside of campus for bus.",positive,staff
You seriously need to do something about the way this registrar and college operates. ,neutral,N/A
How can the simplest procedure turn into something difficult? ,negative,N/A
"It takes months for them to answer via email, or don’t even bother to reply to you in the …",neutral,N/A
Took the M exit course this weekend.  ,neutral,N/A
Fantastic experience! ,positive,experience
Shari and Paul were my instructors and were very friendly and supportive ensuring that we were prepared to pass the course.,positive,"Shari, Paul, instructors"
I have never see this type of education system.. ,neutral,N/A
first they said you can’t get differ and after then they told me to withdraw my fee and because of that they can earn money. ,negative,N/A
How much will you get help with my $2500..?? ,neutral,N/A
You can buy …,neutral,N/A
"I graduated from here in April 2021, it was a nice experience when the pandemic wasn't a big  thing but coming back this fall with things being pretty much all online now it's hard to retain information if you don't have anything in-person. ",negative,experience
…,neutral,N/A
"I half to say im really disappointed with this college and its use of power and forcing its students to be vax and is not giving any equal opportunity to people who can't be, shame on you Georgian college for Discriminating and having you …",negative,college
One of the best college in canada and it has all necessary facilities for a student. ,positive,college
It is a very big campus and I am loving it here,positive,campus
I love Georgian College. ,positive,Georgian College
"Having attended university previous to this I can say that the small classroom size has allowed me to have an amazing relationship with my teachers, more opportunity to ask questions, and much more hands on …",positive,small classroom size
A good place to learn and some of the teachers r friendly and courteous,positive,"place, teachers"
Georgian College is good. ,positive,Georgian College
"The international centre is shocking, they are both completely different businesses which don't work together. ",negative,international centre
The international centre treat you amazing until you arrive then they aren't interested in helping as …,positive,N/A
Originally attended Georgian in 2010 for Photography. ,neutral,N/A
I found the program was a bore and the Profs made no bones about reminding us that we don’t need a diploma to be a photographer since clients will never ask for one. ,negative,program
Felt the program was …,neutral,N/A
Its been an year...,neutral,N/A
still didn't got the refund . ,negative,N/A
And now most of the agency's are not recommending Georgian. ,neutral,"agency's, Georgian"
Join Georgian at your own risk.,neutral,N/A
Amazing experience at Georgia College. ,positive,experience
Effective teaching Pragmatic approach …,positive,teaching
Stopped here to use the fast charger for the car. ,neutral,N/A
"Just off the highway.
",neutral,N/A
Stopped here again. ,negative,N/A
College is much busier now (back to normal with students and …,neutral,N/A
"They didn’t refund my money back, really bad staff. ",negative,staff
"I paid $250 for seat reservation, and because illness I couldn’t attend the class. ( also I provided the hospital documents) but they ignored me.in the other hand  The semester had not started yet , they didn’t refund it . ",negative,N/A
I’m really disappointed. ,negative,N/A
Very bad service,negative,service
"Hey guys, anybody going for September 2023 intake in this college?? ",neutral,N/A
Let's connect insta id electro.777.,neutral,N/A
"Graduated Electrical Engineering Technology in 2015, most of the teachers were great and wanted to see students succeed and were always very helpful. ",positive,teachers
"Parking was a bit of an issue, especially when the closed off part of the parking lot for …",negative,Parking
"just finished an online leadership course and it was awesome,  Sara and Peter ran it and were very accommodating,  our entire mgmt team was very pleased with the product.",positive,"online leadership course,  Sara, Peter, product"
I have attended Georgian for a few different programs and have never had an issue; ,neutral,N/A
"however, I decided to return after completing the Law Clerk Program to continue my education to become a Paralegal. ",neutral,N/A
"Unfortunately, this has been a horrible …",negative,N/A
Finding housing is VERY difficult. ,negative,housing
Landlords charge too much and some are not nice. ,negative,Landlords
Hardly any housing provided by the college and can't get in.,negative,N/A
ATTENTION! ,neutral,N/A
"FRAUDS IN THE BUILDING.
",negative,BUILDING
I got visa refusal and asked for refund - the admission just coming up with new …,negative,N/A
I personally had a negative experience here. ,negative,N/A
"After finishing my Advanced Diploma, none of our professors even bothered to come to our graduation (which was a joke). ",negative,N/A
I wish I could go back and choose not to waste my time/money. ,positive,N/A
A lot of my …,neutral,N/A
"They didn’t refund my money back, really bad staff. ",negative,staff
"I paid $250 for seat reservation, and because illness I couldn’t attend the class. ( also I provided the hospital documents) but they ignored me.in the other hand  The semester had not started yet , they didn’t refund it . ",negative,N/A
I’m really disappointed. ,negative,N/A
Very bad service,negative,service
I personally had a negative experience here. ,negative,N/A
"After finishing my Advanced Diploma, none of our professors even bothered to come to our graduation (which was a joke). ",negative,N/A
I wish I could go back and choose not to waste my time/money. ,positive,N/A
A lot of my …,neutral,N/A
Don't take admission in this college because they don't facility to the student and not responsing on call & Email... ,negative,college
indian consultancy get huge amount of money from this college so they suggest this college much... ,neutral,N/A
I request international students don't come in this college,neutral,N/A
This institution only cares about making money and not about the success of its students. ,negative,N/A
Don't be fooled into believing the opposite is true. ,negative,N/A
I was in the electrical engineering technology program which promised great co-op opportunities. ,positive,N/A
…,neutral,N/A
Co-op is a joke and the coordinators completely unhelpful. ,negative,"Co-op, coordinators"
They favor some students while forcing others to take 4-8 months off if you can’t secure a Co-op “they approve” …,neutral,N/A
Stayed at the residence while working at Burl's Creek for the Rolling Stones show. ,neutral,N/A
The staff was very helpful. ,positive,staff
My only complaints are the first room we were given was already occupied and the room key card needed to be reset three times …,negative,room
"Best support system for international students, great facilities to make students ease their college journey. ",positive,"support system, facilities"
Updates available on emergency situations. ,neutral,N/A
Best resource and professors. ,positive,"resource, professors"
"Good opportunities provided for students to earn, learn, dine and have fun. ",positive,opportunities
The best experience of my life.,positive,experience
Georgian College is a fantastic school. ,positive,school
I truly appreciated this opportunity after attending a previous Ontario University. ,positive,opportunity
"The teachers and staff are incredibly helpful and go above and beyond to make you understand, feel comfortable, and …",positive,"teachers, staff"
Care more about your money than seeing you succeed. ,neutral,N/A
"- Had to drop out back in winter 2014 because I was working 3 jobs just to be able to afford to go here because the financial aid I got was a joke, $400. ",negative,financial aid
My one book alone was $1000!! ,positive,N/A
This …,neutral,N/A
After four weeks at this school I can honestly say its a great place with a few issues. ,positive,place
There is a serious issue with the use of common spaces and the library. ,neutral,library
I happen to need to use the computers in the library for my program as well as …,neutral,N/A
Yikes! ,positive,N/A
I’ve had friends complain about this school but now I can see for myself that there are serious problems here in terms of organization. ,negative,organization
I registered for a simple continuing education part-time course and the problems during registration were numerous! ,negative,N/A
Administration here is VERY POOR.,negative,Administration
I don't like this school. ,negative,school
The teachers are not clear about how they expect students to do the assignments. ,neutral,N/A
"When it comes to APA format, the teachers do not review their exceptions on how they want the assignment to be formatted. ",neutral,N/A
Most of the …,neutral,N/A
I don't like this school. ,negative,school
The teachers are not clear about how they expect students to do the assignments. ,neutral,N/A
"When it comes to APA format, the teachers do not review their exceptions on how they want the assignment to be formatted. ",neutral,N/A
Most of the …,neutral,N/A
"This is one star is not a reflection of the teachers or the programs, as they're incredible. ",positive,"teachers, programs"
This one star goes directly to to Fern Vandam from Georgian's accounting department. ,neutral,N/A
I had to temporarily pause my payments when the pandemic hit …,negative,N/A
"Georgian College has given me the worst experience as an international student i have been contacting their admission department for the past 2 months and they still do not provide any positive respons,blocked my 2500 cad saying that I …",negative,N/A
"I studied project management here, I had great experience. ",positive,experience
Faculty is very supportive. ,positive,Faculty
I love it.,positive,N/A
The best college ever in Ontario. ,positive,college
"The ambiance, people everything makes us feel at home.",positive,N/A
Absolutely terrible admin/registrar’s office. ,negative,N/A
Repeatedly waiting two weeks on an email response re: a time-sensitive issue. ,negative,N/A
And no way to phone the registrar? ,neutral,N/A
Ridiculous.,negative,N/A
After completion of the programme they will take forever to give you the transcripts. ,neutral,N/A
Without transcripts one cannot apply for the post graduate work permit making one handicapped to get a full time job. ,negative,N/A
If students are unemployed after graduation the primary reason is the poor administration system at Georgian.,negative,administration system
Georgian only cares about your money. ,neutral,N/A
There are some good professor but most of them just brag about how many people they fail and they don't bother to try to help you. ,negative,professor
…,neutral,N/A
Their programs are very unorganized and it's takes them forever to respond when you email reaching out for help. ,negative,N/A
"Unless it's to a teacher, then they'll respond fast but tell you one thing one day and the opposite the next. ",neutral,N/A
"If you aren't going for a trade, save your money. ",neutral,N/A
It's not worth it.,negative,N/A
College full of scammers. ,negative,College
"Everyone’s just only care about one thing, Money. ",neutral,N/A
They don’t hesitate to know your grades and performance. ,neutral,N/A
Never even tries to help you out. ,negative,N/A
"One of my worst decision, I have taken in my life to study from this …",negative,N/A
This really is a great school. ,positive,school
"The faculty are all friendly and helpful, the buildings are well maintained and the support offered is like no other experience I've had at another post-secondary institution. ",positive,"faculty, buildings"
"The proximity to Toronto, the Muskoka's and the Kawartha's makes this the ideal location for any student of any age.",positive,location
